1, 4, 1, 0, 4, 16, 4, 0, 1, 4, 1, 0, 0, 0, 0, 0, 4, 16, 4, 0, 16, 64, 16, 0, 4, 16, 4, 0, 0, 0, 0, 0, 1, 4, 1, 0, 4, 16, 4, 0, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-3, 0, 3, 0, -12, 0, 12, 0, -3, 0, 3, 0, 0, 0, 0, 0, -12, 0, 12, 0, -48, 0, 48, 0, -12, 0, 12, 0, 0, 0, 0, 0, -3, 0, 3, 0, -12, 0, 12, 0, -3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, -6, 3, 0, 12, -24, 12, 0, 3, -6, 3, 0, 0, 0, 0, 0, 12, -24, 12, 0, 48, -96, 48, 0, 12, -24, 12, 0, 0, 0, 0, 0, 3, -6, 3, 0, 12, -24, 12, 0, 3, -6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-1, 3, -3, 1, -4, 12, -12, 4, -1, 3, -3, 1, 0, 0, 0, 0, -4, 12, -12, 4, -16, 48, -48, 16, -4, 12, -12, 4, 0, 0, 0, 0, -1, 3, -3, 1, -4, 12, -12, 4, -1, 3, -3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-3, -12, -3, 0, 0, 0, 0, 0, 3, 12, 3, 0, 0, 0, 0, 0, -12, -48, -12, 0, 0, 0, 0, 0, 12, 48, 12, 0, 0, 0, 0, 0, -3, -12, -3, 0, 0, 0, 0, 0, 3, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
9, 0, -9, 0, 0, 0, 0, 0, -9, 0, 9, 0, 0, 0, 0, 0, 36, 0, -36, 0, 0, 0, 0, 0, -36, 0, 36, 0, 0, 0, 0, 0, 9, 0, -9, 0, 0, 0, 0, 0, -9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-9, 18, -9, 0, 0, 0, 0, 0, 9, -18, 9, 0, 0, 0, 0, 0, -36, 72, -36, 0, 0, 0, 0, 0, 36, -72, 36, 0, 0, 0, 0, 0, -9, 18, -9, 0, 0, 0, 0, 0, 9, -18, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, -9, 9, -3, 0, 0, 0, 0, -3, 9, -9, 3, 0, 0, 0, 0, 12, -36, 36, -12, 0, 0, 0, 0, -12, 36, -36, 12, 0, 0, 0, 0, 3, -9, 9, -3, 0, 0, 0, 0, -3, 9, -9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 12, 3, 0, -6, -24, -6, 0, 3, 12, 3, 0, 0, 0, 0, 0, 12, 48, 12, 0, -24, -96, -24, 0, 12, 48, 12, 0, 0, 0, 0, 0, 3, 12, 3, 0, -6, -24, -6, 0, 3, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
-9, 0, 9, 0, 18, 0, -18, 0, -9, 0, 9, 0, 0, 0, 0, 0, -36, 0, 36, 0, 72, 0, -72, 0, -36, 0, 36, 0, 0, 0, 0, 0, -9, 0, 9, 0, 18, 0, -18, 0, -9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
